Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
May,31,Media_Manager,8393.545,516.4620833333332,7,6,30,7,"Home Equity Loan, Credit-Builder Loan, Not Specified, Personal Loan, Mortgage Loan, Not Specified, and Personal Loan",41,19.0,16.57,11.0,_,4103.79,32.212765548670966,92.0,NM,46.691044871178335,14.382150998673575,High_spent_Small_value_payments,250.57301246348143
March,36,Doctor,19944.35,1819.0291666666665,8,9,30,5,"Student Loan, Mortgage Loan, Student Loan, Personal Loan, and Payday Loan",22,23.0,4.7,7.0,Bad,2153.35,34.729846558383834,165.0,Yes,44.33687368987093,123.43583505035537,Low_spent_Small_value_payments,304.1302079264404
March,37,_______,97420.86,7838.405,6,7,20,4,"Personal Loan, Personal Loan, Credit-Builder Loan, and Student Loan",22,15.0,1.08,3.0,Standard,619.58,42.98856517832547,339.0,NM,179.02114630812974,140.31806209564206,High_spent_Small_value_payments,724.5012915962282
June,45,Entrepreneur,7465.895,,7,5,17,6,"Not Specified, Debt Consolidation Loan, Student Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",24,25.0,17.64,13.0,_,3766.44,28.60364365592288,136.0,Yes,23.706182042936558,61.08073586948731,Low_spent_Large_value_payments,253.6288737542428
March,39,Musician,16328744.0,,10,6,23,7,"Student Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Payday Loan",36,26.0,22.3,6.0,Bad,4972.4,28.14060403697247,70.0,Yes,482.17978316483214,561.5410966642563,Low_spent_Large_value_payments,
March,36,Musician,16435.27,1526.605833333333,9,8,29,8,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",36,19.0,7.01,9.0,Bad,3414.12,36.20651659872229,124.0,NM,75.4888935773085,,Low_spent_Small_value_payments,180.79243049803296
April,18,Developer,42846.39,3670.5325,8,6,22,7,"Debt Consolidation Loan, Personal Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, Payday Loan, and Mortgage Loan",11,17.0,11.44,10.0,Standard,1745.53,37.23447348082932,149.0,Yes,146.5273031373101,115.16603353813824,Low_spent_Medium_value_payments,385.3599133245517
March,50,Teacher,14632.3,996.3583333333332,1,3,11,2,"Auto Loan, and Debt Consolidation Loan",9,13.0,11.25,0.0,Good,1373.01,29.06223631628747,262.0,No,15.87191512105401,23.93660796349101,High_spent_Large_value_payments,299.8273102487883
August,30,Engineer,19938.73,,7,5,19,8,"Personal Loan, Not Specified, Not Specified, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Student Loan",56,18.0,30.26,10.0,Bad,4203.56,31.91985047740157,156.0,Yes,111.96628296910264,107.38575536669003,High_spent_Small_value_payments,222.00404499754063
March,32,Musician,113666.08,9637.173333333334,8,7,8,4,"Personal Loan, Mortgage Loan, Auto Loan, and Credit-Builder Loan",19,18.0,18.45,4.0,_,883.26,40.41193797407376,238.0,Yes,353.5609363816932,627.318808318649,Low_spent_Large_value_payments,252.83758863299136
May,40,Doctor,63079.46,4966.621666666667,2,4,11,4,"Personal Loan, Payday Loan, Personal Loan, and Not Specified",6,7.0,0.72,0.0,_,900.32,34.71686547365007,373.0,NM,110.23451726908002,10000.0,Low_spent_Medium_value_payments,198.9246022630669
March,42,Architect,20005.22,1683.101666666667,8,3,6,4,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Not Specified",25,23.0,,13.0,Standard,1859.45,29.836775277225232,151.0,Yes,59.51321413246297,127.66459570059796,Low_spent_Medium_value_payments,261.13235683360574
June,40,Writer,61043.61,5052.9675,9,5,30,6,"Auto Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",51,16.0,27.17,17.0,Bad,2653.72,25.96799827749972,116.0,Yes,235.4503798297704,118.56023654716246,High_spent_Large_value_payments,391.2861336230672
May,46,Entrepreneur,24585.55,,3,4,14,2,"Auto Loan, and Credit-Builder Loan",9,14.0,16.35,0.0,Standard,195.38,27.45654796547434,325.0,Yes,30.447776935964107,50.95979277653346,High_spent_Small_value_payments,410.2720136208357
August,37,Mechanic,49346.88,3593.22219332051,5,7,15,-100,"Debt Consolidation Loan, Payday Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",16,47.0,16.99,7.0,Standard,228.04,26.3755173996176,90.0,Yes,586.2382653145116,46.792888109169205,High_spent_Large_value_payments,375.51065325580896
May,27,Media_Manager,95189.64,7924.47,5,3,2,4,"Student Loan, Payday Loan, Not Specified, and Student Loan",5,2.0,7.74,1.0,_,722.48,24.61021508412071,302.0,No,203.66117963557053,212.1175336624333,Low_spent_Large_value_payments,646.6682867019962
July,32,Engineer,60330.12,4952.51,6,5,26,3,"Not Specified, Auto Loan, and Home Equity Loan",24,13.0,8.97,14.0,_,2572.66,32.8418092849214,226.0,Yes,98.3479168571268,71.5008441243946,High_spent_Medium_value_payments,575.4022390184788
August,47,Developer,4175074.0,,2,3,9,4,"Home Equity Loan, Home Equity Loan, Not Specified, and Not Specified",12,4.0,11.56,3.0,Good,840.94,35.76407014523911,386.0,No,159.80963724959412,164.32963352280495,High_spent_Medium_value_payments,614.7629792276011
August,33,Accountant,18426.65,1516.1270646167652,3,7,18,-100,"Mortgage Loan, Student Loan, and Debt Consolidation Loan",11,,14.94,7.0,Standard,2329.28,30.78260660812355,186.0,Yes,214.51333966774035,52.077553147326114,Low_spent_Large_value_payments,349.09162590150186
May,32,Engineer,17434.78,1214.8983333333333,8,6,32,7,"Student Loan, Debt Consolidation Loan, Auto Loan, Auto Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",34,20.0,21.56,10.0,_,2765.76,36.95749527375798,171.0,Yes,73.31214663371006,11.783453526681509,High_spent_Large_value_payments,276.39423317294177
July,44,Entrepreneur,17624.38,,7,9,26,7,"Credit-Builder Loan, Not Specified, Not Specified, Auto Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",38,17.0,6.92,10.0,Bad,1524.0,23.24055614496856,127.0,Yes,55.4910376756675,77.33552559793527,Low_spent_Small_value_payments,305.5432700597306
August,14,Writer,15360.58,981.0483333333334,6,9,25,3,"Personal Loan, Auto Loan, and Personal Loan",48,10.0,12.92,11.0,Standard,1521.43,25.3838276810614,147.0,Yes,20.753795710853176,68.48304192337096,Low_spent_Small_value_payments,298.8679956991092
July,39,Accountant,69847.44,6020.62,10,8,28,-100,"Auto Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, Personal Loan, and Debt Consolidation Loan",22,24.0,19.47,14.0,Bad,3413.05,25.18913277024001,64.0,NM,255.27234453522323,102.84672722864404,High_spent_Large_value_payments,483.94292823613273
June,33,Manager,26281.03,,8,3,16,3,"Auto Loan, Mortgage Loan, and Not Specified",30,20.0,12.82,7.0,Standard,267.49,30.967282831319533,195.0,Yes,46.42616160739375,153.74965104348527,Low_spent_Medium_value_payments,323.8327706824544
February,33,Media_Manager,67327.32,5551.6100000000015,5,3,7,3,"Student Loan, Personal Loan, and Payday Loan",23,8.0,18.25,7.0,Standard,495.02,31.43030421540812,212.0,Yes,125.01550766614294,193.9504512871149,High_spent_Medium_value_payments,486.19504104674223
April,38,Mechanic,88069.62,7552.134999999998,1,7,5,-100,"Payday Loan, Mortgage Loan, and Credit-Builder Loan",5,8.0,6.72,7.0,Good,1096.06,39.95070128545263,256.0,No,151.48940903843814,75.37113856147809,High_spent_Large_value_payments,768.3529524000837
April,30,Manager,19129.65,,7,6,31,7,"Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, Auto Loan, Personal Loan, Personal Loan, and Credit-Builder Loan",54,17.0,17.36,7.0,_,3237.75,28.096347824499823,103.0,Yes,60.1533366599019,127.37957519915614,Low_spent_Small_value_payments,255.280838140942
August,43,Doctor,15096.85,1033.0708333333334,8,6,20,4,"Home Equity Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",18,20.0,8.76,6.0,_,1928.03,32.5165585073259,207.0,Yes,35.31355866891549,63.66859960550003,High_spent_Small_value_payments,264.3249250589178
